wave_A  modfactor_lo  modfactor_hi
51.936000  0.95096800  0.92241920
51.968000  0.95098400  0.92240960
52.000000  0.95100000  0.92240000
52.032000  0.95101600  0.92239040
52.064000  0.95103200  0.92238080
52.096000  0.95104800  0.92237120
52.128000  0.95106400  0.92236160
52.160000  0.95108000  0.92235200
52.192000  0.95109600  0.92234240
52.224000  0.95111200  0.92233280
52.256000  0.95112800  0.92232320
52.288000  0.95114400  0.92231360
52.320000  0.95116000  0.92230400
52.352000  0.95117600  0.92229440
52.384000  0.95119200  0.92228480
52.416000  0.95120800  0.92227520
52.448000  0.95122400  0.92226560
52.480000  0.95124000  0.92225600
52.512000  0.95125600  0.92224640
52.544000  0.95127200  0.92223680
52.576000  0.95128800  0.92222720
52.608000  0.95130400  0.92221760
52.640000  0.95132000  0.92220800
52.672000  0.95133600  0.92219840
52.704000  0.95135200  0.92218880
52.736000  0.95136800  0.92217920
52.768000  0.95138400  0.92216960
52.800000  0.95140000  0.92216000
52.832000  0.95141600  0.92215040
52.864000  0.95143200  0.92214080
52.896000  0.95144800  0.92213120
52.928000  0.95146400  0.92212160
52.960000  0.95148000  0.92211200
52.992000  0.95149600  0.92210240
53.024000  0.95151200  0.92209280
53.056000  0.95152800  0.92208320
53.088000  0.95154400  0.92207360
53.120000  0.95156000  0.92206400
53.152000  0.95157600  0.92205440
53.184000  0.95159200  0.92204480
53.216000  0.95160800  0.92203520
53.248000  0.95162400  0.92202560
53.280000  0.95164000  0.92201600
53.312000  0.95165600  0.92200640
53.344000  0.95167200  0.92199680
53.376000  0.95168800  0.92198720
53.408000  0.95170400  0.92197760
53.440000  0.95172000  0.92196800
53.472000  0.95173600  0.92195840
53.504000  0.95175200  0.92194880
53.536000  0.95176800  0.92193920
53.568000  0.95178400  0.92192960
53.600000  0.95180000  0.92192000
53.632000  0.95181600  0.92191040
53.664000  0.95183200  0.92190080
53.696000  0.95184800  0.92189120
53.728000  0.95186400  0.92188160
53.760000  0.95188000  0.92187200
53.792000  0.95189600  0.92186240
53.824000  0.95191200  0.92185280
53.856000  0.95192800  0.92184320
53.888000  0.95194400  0.92183360
53.920000  0.95196000  0.92182400
53.952000  0.95197600  0.92181440
53.984000  0.95199200  0.92180480
54.016000  0.95200800  0.92179520
54.048000  0.95202400  0.92178560
54.080000  0.95204000  0.92177600
54.112000  0.95205600  0.92176640
54.144000  0.95207200  0.92175680
54.176000  0.95208800  0.92174720
54.208000  0.95210400  0.92173760
54.240000  0.95212000  0.92172800
54.272000  0.95213600  0.92171840
54.304000  0.95215200  0.92170880
54.336000  0.95216800  0.92169920
54.368000  0.95218400  0.92168960
54.400000  0.95220000  0.92168000
54.432000  0.95221600  0.92167040
54.464000  0.95223200  0.92166080
54.496000  0.95224800  0.92165120
54.528000  0.95226400  0.92164160
54.560000  0.95228000  0.92163200
54.592000  0.95229600  0.92162240
54.624000  0.95231200  0.92161280
54.656000  0.95232800  0.92160320
54.688000  0.95234400  0.92159360
54.720000  0.95236000  0.92158400
54.752000  0.95237600  0.92157440
54.784000  0.95239200  0.92156480
54.816000  0.95240800  0.92155520
54.848000  0.95242400  0.92154560
54.880000  0.95244000  0.92153600
54.912000  0.95245600  0.92152640
54.944000  0.95247200  0.92151680
54.976000  0.95248800  0.92150720
55.008000  0.95250400  0.92149760
55.040000  0.95252000  0.92148800
55.072000  0.95253600  0.92147840
55.104000  0.95255200  0.92146880
55.136000  0.95256800  0.92145920
55.168000  0.95258400  0.92144960
55.200000  0.95260000  0.92144000
55.232000  0.95261600  0.92143040
55.264000  0.95263200  0.92142080
55.296000  0.95264800  0.92141120
55.328000  0.95266400  0.92140160
55.360000  0.95268000  0.92139200
55.392000  0.95269600  0.92138240
55.424000  0.95271200  0.92137280
55.456000  0.95272800  0.92136320
55.488000  0.95274400  0.92135360
55.520000  0.95276000  0.92134400
55.552000  0.95277600  0.92133440
55.584000  0.95279200  0.92132480
55.616000  0.95280800  0.92131520
55.648000  0.95282400  0.92130560
55.680000  0.95284000  0.92129600
55.712000  0.95285600  0.92128640
55.744000  0.95287200  0.92127680
55.776000  0.95288800  0.92126720
55.808000  0.95290400  0.92125760
55.840000  0.95292000  0.92124800
55.872000  0.95293600  0.92123840
55.904000  0.95295200  0.92122880
55.936000  0.95296800  0.92121920
55.968000  0.95298400  0.92120960
56.000000  0.95300000  0.92120000
56.032000  0.95301600  0.92119040
56.064000  0.95303200  0.92118080
56.096000  0.95304800  0.92117120
56.128000  0.95306400  0.92116160
56.160000  0.95308000  0.92115200
56.192000  0.95309600  0.92114240
56.224000  0.95311200  0.92113280
56.256000  0.95312800  0.92112320
56.288000  0.95314400  0.92111360
56.320000  0.95316000  0.92110400
56.352000  0.95317600  0.92109440
56.384000  0.95319200  0.92108480
56.416000  0.95320800  0.92107520
56.448000  0.95322400  0.92106560
56.480000  0.95324000  0.92105600
56.512000  0.95325600  0.92104640
